transaction_reference,amount,status
TXN11974,42556,success
TXN4962,42971,success
TXN4443,56254,failed
TXN7500,37422,failed
TXN5269,44221,failed
TXN11542,24028,success
TXN5302,37248,pending
TXN5411,44913,pending
TXN10917,28908,pending
TXN9889,16957,failed
TXN11204,26440,failed
TXN7528,23208,success
TXN10836,53438,success
TXN5703,26145,success
TXN9480,38696,failed
TXN6668,46527,success
